subject,method,lam_p,sigma_min,sigma_max,PSNR,HFEN,SSIM
58,SL0,0.077,0.3,5.0,25.41539300791955,0.25809344723897243,0.6194574257804881
58,Zero-filled,,,,25.3333586120283,0.25821842263888933,0.617982987102939
59,ISRSL0_wiener,0.077,0.3,5.0,30.2247846060501,0.20939874594999439,0.8659757203958766
59,ISRSL0_BM3D,0.077,0.3,5.0,29.69662906800538,0.1825037927860513,0.8467219587113813
59,SL0,0.077,0.3,5.0,27.744589601030178,0.23657358465133016,0.7522152261806365
59,Zero-filled,,,,27.654294622364873,0.23661862151264154,0.7512580532659616
60,ISRSL0_wiener,0.077,0.3,5.0,29.55118341894893,0.3072191165588176,0.8196889101890542
60,ISRSL0_BM3D,0.077,0.3,5.0,28.179502332090856,0.25414629516569087,0.7694798017313591
60,SL0,0.077,0.3,5.0,25.528359446488608,0.33592412250651515,0.6493340339477817
60,Zero-filled,,,,25.424800464124765,0.33601446397681267,0.6480256836791219
61,ISRSL0_wiener,0.077,0.3,5.0,27.667732197997186,0.2085229550330077,0.8238857976989046
61,ISRSL0_BM3D,0.077,0.3,5.0,28.116448607344672,0.17131216096378568,0.7877990096632654
61,SL0,0.077,0.3,5.0,23.453734151564415,0.24683177194068254,0.6329810189941535
61,Zero-filled,,,,23.3694524559434,0.24697512542709638,0.631349218952227
62,ISRSL0_wiener,0.077,0.3,5.0,31.489677416908222,0.16889442111144412,0.8566153935191789
62,ISRSL0_BM3D,0.077,0.3,5.0,29.377429984098757,0.14729464663401323,0.8194276426162842
62,SL0,0.077,0.3,5.0,27.915514647852312,0.18946402779497035,0.7348524890220667
62,Zero-filled,,,,27.851885463586466,0.18951405050398537,0.7340012729592473
63,ISRSL0_wiener,0.077,0.3,5.0,24.720674387005978,0.27517852644753,0.7426621109050568
63,ISRSL0_BM3D,0.077,0.3,5.0,26.38543750201795,0.2317495859751444,0.714109526600486
63,SL0,0.077,0.3,5.0,22.303495632044008,0.3271340622894279,0.5584137106605034
63,Zero-filled,,,,22.188856345323714,0.3273649159816081,0.5563837067595391
64,ISRSL0_wiener,0.077,0.3,5.0,25.81435264532906,0.24387678686879657,0.7661685107928561
64,ISRSL0_BM3D,0.077,0.3,5.0,25.12876028516226,0.2014718684517188,0.7069609356280351
64,SL0,0.077,0.3,5.0,22.71927290306607,0.2997685081154371,0.5660919798776264
64,Zero-filled,,,,22.61267340343906,0.2999972270124509,0.5640413746984375
65,ISRSL0_wiener,0.077,0.3,5.0,28.915204598882582,0.2530621690200177,0.7968743832273623
65,ISRSL0_BM3D,0.077,0.3,5.0,27.872348503091494,0.21542085901521063,0.7336326194409406
65,SL0,0.077,0.3,5.0,24.966294390105723,0.30130358395925616,0.5958532393784776
65,Zero-filled,,,,24.87280104593708,0.30144163178009864,0.5942548866842705
66,ISRSL0_wiener,0.077,0.3,5.0,27.555042569280044,0.2472222244387399,0.7937902524936541
66,ISRSL0_BM3D,0.077,0.3,5.0,25.60063779499595,0.21111574522493862,0.7420822642008484
66,SL0,0.077,0.3,5.0,24.295112995313218,0.28364092962981946,0.6323639569376246
66,Zero-filled,,,,24.204431515588883,0.2837594373163241,0.630995178617492
67,ISRSL0_wiener,0.077,0.3,5.0,26.524609812438882,0.25452548264654656,0.8175843081703845
67,ISRSL0_BM3D,0.077,0.3,5.0,27.328757919027915,0.21920048374993956,0.8043645911031896
67,SL0,0.077,0.3,5.0,23.448451913276497,0.27859840464980695,0.6736494991616256
67,Zero-filled,,,,23.35802415621263,0.27872072974151935,0.6722746775936873
68,ISRSL0_wiener,0.077,0.3,5.0,29.94066157707334,0.20443816174149992,0.8177726224047022
68,ISRSL0_BM3D,0.077,0.3,5.0,28.837252796154296,0.1743016596270719,0.7728398085790718
68,SL0,0.077,0.3,5.0,27.254095328499677,0.23512214373196771,0.6678219689891458
68,Zero-filled,,,,27.19003579044277,0.2351930832890964,0.666829590088681
69,ISRSL0_wiener,0.077,0.3,5.0,28.241873813195554,0.2626037082372165,0.822804936097039
69,ISRSL0_BM3D,0.077,0.3,5.0,26.6906346474679,0.22102494148393625,0.7541741887891199
69,SL0,0.077,0.3,5.0,25.97267385158228,0.2979981961886588,0.649510248529478
69,Zero-filled,,,,25.84302427593951,0.29808907491512376,0.6479080184509657
70,ISRSL0_wiener,0.077,0.3,5.0,23.533692485404302,0.2566326223213575,0.7342085869167881
70,ISRSL0_BM3D,0.077,0.3,5.0,23.02033348690211,0.20973911953371557,0.6744491559793508
70,SL0,0.077,0.3,5.0,19.699114534880458,0.322809797514297,0.5087491972828458
70,Zero-filled,,,,19.586649920758553,0.3232631729017162,0.5059488247375777
71,ISRSL0_wiener,0.077,0.3,5.0,29.493143552460687,0.2613395018125633,0.8069836805886318
71,ISRSL0_BM3D,0.077,0.3,5.0,28.6200850724329,0.22624572900409706,0.7615820792262933
71,SL0,0.077,0.3,5.0,26.329203313873435,0.3076764586660902,0.6323101228968787
71,Zero-filled,,,,26.24141086380892,0.3077742802081358,0.6308694517741058
72,ISRSL0_wiener,0.077,0.3,5.0,26.907030670844307,0.2519477859898423,0.7851370854000398
72,ISRSL0_BM3D,0.077,0.3,5.0,26.001951973642726,0.21576931142354563,0.7381391826690522
72,SL0,0.077,0.3,5.0,23.821324050151627,0.29735764505710055,0.6143049464257099
72,Zero-filled,,,,23.72066850838237,0.2975123470169639,0.6126154117751681
73,ISRSL0_wiener,0.077,0.3,5.0,27.563868431277765,0.2287764179933468,0.8301802169303955
73,ISRSL0_BM3D,0.077,0.3,5.0,27.56421335996579,0.19951446632093459,0.8075034613617689
73,SL0,0.077,0.3,5.0,24.722387875229774,0.25678385641195406,0.6949557284163781
73,Zero-filled,,,,24.626103795587582,0.2568745693886072,0.6936293131451449
74,ISRSL0_wiener,0.077,0.3,5.0,26.066309230023034,0.22916021125800654,0.7591097225053703
74,ISRSL0_BM3D,0.077,0.3,5.0,25.993007042290532,0.18818898400636258,0.7256963545426812
