subject,method,lam_p,sigma_min,sigma_max,PSNR,HFEN,SSIM
57,ISRSL0_wiener,0.077,0.3,5.0,27.840283820483037,0.2681974463013689,0.7472479950877278
57,ISRSL0_BM3D,0.077,0.3,5.0,28.541674376994717,0.2510408340551363,0.7523810789069235
57,SL0,0.077,0.3,5.0,26.905974496958855,0.2649281789233234,0.6541041898997964
57,Zero-filled,,,,26.73316780138451,0.2649618480941006,0.6524298251060755
58,ISRSL0_wiener,0.077,0.3,5.0,30.523853337013442,0.29490124886017205,0.7493994458928513
58,ISRSL0_BM3D,0.077,0.3,5.0,29.109506501699904,0.2807715285260691,0.7362313940200803
58,SL0,0.077,0.3,5.0,22.731820687263063,0.2943165146343709,0.6120381595528859
58,Zero-filled,,,,21.887442113302317,0.2946353643818754,0.6021048921496522
59,ISRSL0_wiener,0.077,0.3,5.0,24.45921553493848,0.3283429051950426,0.7016395304653608
59,ISRSL0_BM3D,0.077,0.3,5.0,26.79083721691011,0.3118556627800318,0.7168545028096079
59,SL0,0.077,0.3,5.0,24.383744654118466,0.32057871150204303,0.605128258960837
59,Zero-filled,,,,24.042918563614958,0.32064381373269013,0.6033511475905677
60,ISRSL0_wiener,0.077,0.3,5.0,27.99935192210374,0.38140307263094514,0.6869240399296771
60,ISRSL0_BM3D,0.077,0.3,5.0,27.89875870785766,0.3624025769032006,0.688789906837261
60,SL0,0.077,0.3,5.0,24.265086939542122,0.3767437473440691,0.5969392926863744
60,Zero-filled,,,,23.059346584521656,0.37701950951691826,0.5886088029244155
61,ISRSL0_wiener,0.077,0.3,5.0,23.79160087098842,0.3511134608707016,0.6727123991806399
61,ISRSL0_BM3D,0.077,0.3,5.0,19.85243593022161,0.33283664892994924,0.6279862972868758
61,SL0,0.077,0.3,5.0,19.692814709185594,0.3447983085912843,0.5501869192106709
61,Zero-filled,,,,19.374640311321535,0.3449828298051424,0.5473767137609177
62,ISRSL0_wiener,0.077,0.3,5.0,30.378679700345405,0.16951577955894603,0.8180935318631006
62,ISRSL0_BM3D,0.077,0.3,5.0,30.784527929929197,0.1596654014814714,0.8430074780608957
62,SL0,0.077,0.3,5.0,28.351395402551685,0.17292417346513397,0.7427987970496263
62,Zero-filled,,,,28.404219099844376,0.17295348558258505,0.7422205441580416
63,ISRSL0_wiener,0.077,0.3,5.0,24.11872128805447,0.2742608281627457,0.7190999089762352
63,ISRSL0_BM3D,0.077,0.3,5.0,22.551083326214304,0.25973157623839765,0.7038398499406723
63,SL0,0.077,0.3,5.0,22.50175533287458,0.27257593091289267,0.6201837763317284
63,Zero-filled,,,,22.250448007358017,0.27267861061896315,0.6182681582074321
64,ISRSL0_wiener,0.077,0.3,5.0,26.17700304818505,0.27557527717557334,0.7305778645875787
64,ISRSL0_BM3D,0.077,0.3,5.0,25.2036195151484,0.26442786681953406,0.7180183518079724
64,SL0,0.077,0.3,5.0,23.94500743384159,0.2764472906149727,0.6187439153892195
64,Zero-filled,,,,23.68532294309734,0.2765426902148032,0.6166694838656578
65,ISRSL0_wiener,0.077,0.3,5.0,24.89504018355991,0.3975327443410358,0.6611056041385237
65,ISRSL0_BM3D,0.077,0.3,5.0,24.302485581926277,0.3735392552135331,0.6582709798823769
65,SL0,0.077,0.3,5.0,21.121001002882423,0.3870448649940663,0.5763559829961856
65,Zero-filled,,,,19.850970476350827,0.3875286844001967,0.5660543825463186
66,ISRSL0_wiener,0.077,0.3,5.0,26.719963163238525,0.29647053037422794,0.7004141944114659
66,ISRSL0_BM3D,0.077,0.3,5.0,26.17089563599746,0.2809934563380272,0.6818816214627514
66,SL0,0.077,0.3,5.0,25.259641403643833,0.28836298935100996,0.605965203512691
66,Zero-filled,,,,25.130488608252712,0.2884070402538693,0.6040927573287196
